Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,10.041,10.044,10.071,10.104,10.094,12.534,14.932,17.31,16.402,15.52,16.053,16.013,17.539,17.494,17.235
Afghanistan,AFG,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,90.043576046337,89.0042626266029,87.9466221225401,86.4837438686457,85.0754288517816,84.1329631338373,83.3065433479913,82.2233604181096,82.31332217699,82.3961191048543,82.6906955888445,80.587703693578,81.091381513011,81.4636847215318,81.720045966335
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.4794499874115,3.4620099067688,2.60420989990234,3.45445990562439,3.69521999359131,3.25578999519348,4.5439600944519,4.34319019317627,..,..,..,..,..,..,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,..
Afghanistan,AFG,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,38.356,38.576,38.789,38.889,38.99,39.09,39.19,39.29,39.386,39.439,33.983,38.464,38.158,38.006,37.933
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,50.4406204223633,52.4474296569824,54.372859954834,54.8833694458008,54.2936515808105,53.1501083374023,53.4350395202637,55.5364303588867,57.3578491210938,..,..,..,..,59.6136016845703,..
Albania,ALB,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,30.867,22.697,28.871,31.207,39.554,39.628,35.918,31.184,28.109,26.942,26.422,27.089,24.543,25.41,25.582
Albania,ALB,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,55.1330239126757,59.1932153701183,61.5347469275197,57.7794652997091,55.9762894374987,56.450566600066,55.9022724728535,52.8315293895777,52.1865088304747,51.1991823398025,50.2974456373031,48.1514912332876,48.977117161397,46.7326588368579,46.3667942612575
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,3.17881310743026,3.29533986928598,3.53355002403259,3.18177734553254,3.41300010681152,3.91997003555298,3.54673004150391,3.08201370407389,3.8701798915863,3.32505011558533,3.00555992126465,2.72977995872498,3.09153008460998,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4149.14469936847,4465.70914328865,4280.93316338873,4542.92903556739,4793.59751131525,4199.53912925398,4457.63412207495,5006.36012951959,5897.65452588774,6069.43903131027,6027.91350716348,7242.45513146613,7756.96188744253,9730.86921906893,11377.7757431099
